growth_rate of Germany,roll_china,roll_norway,roll_united_kingdom,roll_united_states
0.040409538,0.808721786,0.453537265,0.881185767,0.941060737
0.014742282,0.773340554,0.459836933,0.728211932,0.843744877
0.00486619,0.799602722,0.37301249,0.603085326,0.816818761
-0.00486619,0.724890291,0.536025313,0.690722062,0.849715563
0.014528101,0.766005034,0.697560521,0.68278038,0.865949009
0.028437935,0.769281455,0.681812399,0.69587285,0.800697187
0.023095715,0.753745435,0.49912607,0.668975205,0.678262453
0.022574322,0.726916791,0.273479301,0.608006936,0.587664177
0.013303966,0.518432187,0.097519155,0.37750429,0.455873099
0.038881788,0.332876721,0.123884285,0.129027278,0.314896233
0.037426406,0.250316081,0.036240413,-0.19699822,0.069079071
0.051701374,0.330967446,-0.447485762,0.039250889,0.182135686
0.049159236,0.016617927,-0.561453205,0.060222947,-0.044979345
0.018282045,-0.222811566,-0.671211291,-0.209381568,-0.302417595
-0.010929071,-0.496991279,-0.774969978,-0.301785072,-0.641670155
0.025317808,-0.603062909,-0.774172047,-0.401825264,-0.659740906
0.014184635,-0.630913813,-0.763611346,-0.455519205,-0.58966045
0.007017573,-0.716678402,-0.792016556,-0.419529446,-0.479154173
0.020761991,-0.492814023,-0.634284028,-0.350830605,-0.396054119
0.016978337,-0.229542516,-0.654710212,-0.138387138,-0.280958472
0.020000667,-0.052195683,-0.746685188,0.082577633,-0.190481521
0.029270382,-0.125663031,-0.664145376,-0.02956097,-0.15223676
0.015898586,-0.133136276,-0.460702411,0.031677697,0.088817053
-0.00315956,0.048856075,-0.163457598,0.626272086,0.421430788
-0.006349228,0.070217072,0.096203416,0.28785243,0.437421875
0.012658397,-0.048595422,0.228838189,0.152605352,0.410920176
0.006269613,-0.247414255,0.227844692,-0.11038373,0.255181175
0.039821494,0.054102156,0.279638783,-0.04122804,0.30214356
0.026668247,0.428057069,0.590251015,0.264783107,0.454405456
0.011628038,0.512380141,0.725779016,0.293480932,0.387778165
-0.059541394,0.525376425,0.788433369,0.67616226,0.708805426
0.042048236,0.580916604,0.765817222,0.708736495,0.697479069
0.037522439,0.73837947,0.600739827,0.590681872,0.594506822
0.002828856,0.781121289,0.599335759,0.552475981,0.583452766
0.005633818,0.77969859,0.589414137,0.592495219,0.583837274
0.022223137,0.773082528,0.596868664,0.62582194,0.611798635
0.013642776,0.787646078,0.675307528,0.764265469,0.767449516
0.024097552,0.721300718,0.660938939,0.775516108,0.80195358
0.023530497,0.626386527,0.571907954,0.727359896,0.776260747
0.012837147,0.444426394,0.397255602,0.631846407,0.693080136
0.00508907,0.23215101,0.366759811,0.391023761,0.289438229
