Name of Countries ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Austria,1.46E+11,1.54E+11,1.63E+11,1.71E+11,1.78E+11,1.77E+11,1.85E+11,1.95E+11,1.94E+11,2.05E+11,2.08E+11,2.08E+11,2.12E+11,2.19E+11,2.19E+11,2.24E+11,2.29E+11,2.32E+11,2.40E+11,2.49E+11,2.60E+11,2.69E+11,2.75E+11,2.76E+11,2.83E+11,2.90E+11,2.97E+11,3.03E+11,3.14E+11,3.26E+11,3.36E+11,3.41E+11,3.46E+11,3.50E+11,3.59E+11,3.67E+11,3.80E+11,3.94E+11,4.00E+11,3.85E+11,3.92E+11,4.03E+11,4.06E+11,4.06E+11,4.09E+11,4.13E+11,4.21E+11,4.31E+11,4.42E+11,4.49E+11
Belgium,1.91E+11,1.99E+11,2.09E+11,2.23E+11,2.33E+11,2.28E+11,2.41E+11,2.43E+11,2.50E+11,2.56E+11,2.67E+11,2.66E+11,2.68E+11,2.69E+11,2.75E+11,2.80E+11,2.85E+11,2.91E+11,3.05E+11,3.16E+11,3.26E+11,3.32E+11,3.37E+11,3.33E+11,3.44E+11,3.52E+11,3.57E+11,3.71E+11,3.78E+11,3.91E+11,4.06E+11,4.10E+11,4.17E+11,4.22E+11,4.37E+11,4.47E+11,4.58E+11,4.75E+11,4.77E+11,4.68E+11,4.81E+11,4.89E+11,4.93E+11,4.95E+11,5.03E+11,5.13E+11,5.20E+11,5.28E+11,5.37E+11,5.47E+11
China,5.28E+11,5.49E+11,5.80E+11,6.19E+11,6.39E+11,6.49E+11,6.87E+11,7.11E+11,7.37E+11,7.64E+11,7.81E+11,8.08E+11,7.82E+11,8.02E+11,8.50E+11,8.90E+11,9.09E+11,9.46E+11,9.88E+11,1.01E+12,1.01E+12,9.91E+11,1.00E+12,1.03E+12,1.07E+12,1.10E+12,1.12E+12,1.08E+12,1.11E+12,1.15E+12,1.21E+12,1.22E+12,1.27E+12,1.31E+12,1.37E+12,1.43E+12,1.49E+12,1.60E+12,1.61E+12,1.57E+12,1.61E+12,1.66E+12,1.69E+12,1.73E+12,1.78E+12,1.79E+12,1.81E+12,1.87E+12,1.91E+12,1.94E+12
Denmark,1.51E+11,1.55E+11,1.61E+11,1.68E+11,1.66E+11,1.63E+11,1.73E+11,1.76E+11,1.80E+11,1.87E+11,1.86E+11,1.85E+11,1.92E+11,1.97E+11,2.05E+11,2.13E+11,2.24E+11,2.24E+11,2.24E+11,2.26E+11,2.29E+11,2.32E+11,2.37E+11,2.37E+11,2.50E+11,2.57E+11,2.65E+11,2.73E+11,2.79E+11,2.87E+11,2.98E+11,3.01E+11,3.02E+11,3.03E+11,3.11E+11,3.19E+11,3.31E+11,3.34E+11,3.32E+11,3.16E+11,3.22E+11,3.26E+11,3.27E+11,3.30E+11,3.35E+11,3.43E+11,3.54E+11,3.64E+11,3.72E+11,3.83E+11
Finland,84145519764,86128763491,92791241504,99271622065,1.02E+11,1.04E+11,1.05E+11,1.05E+11,1.08E+11,1.16E+11,1.22E+11,1.24E+11,1.27E+11,1.31E+11,1.36E+11,1.40E+11,1.44E+11,1.49E+11,1.57E+11,1.65E+11,1.66E+11,1.57E+11,1.51E+11,1.50E+11,1.56E+11,1.63E+11,1.69E+11,1.80E+11,1.89E+11,1.98E+11,2.09E+11,2.15E+11,2.18E+11,2.23E+11,2.32E+11,2.38E+11,2.48E+11,2.61E+11,2.63E+11,2.41E+11,2.49E+11,2.56E+11,2.52E+11,2.50E+11,2.49E+11,2.50E+11,2.57E+11,2.66E+11,2.70E+11,2.73E+11
France,1.04E+12,1.09E+12,1.14E+12,1.22E+12,1.27E+12,1.26E+12,1.31E+12,1.36E+12,1.41E+12,1.46E+12,1.48E+12,1.50E+12,1.54E+12,1.56E+12,1.58E+12,1.60E+12,1.64E+12,1.68E+12,1.76E+12,1.84E+12,1.89E+12,1.91E+12,1.94E+12,1.93E+12,1.98E+12,2.02E+12,2.05E+12,2.10E+12,2.17E+12,2.25E+12,2.33E+12,2.38E+12,2.41E+12,2.43E+12,2.50E+12,2.54E+12,2.60E+12,2.66E+12,2.67E+12,2.59E+12,2.64E+12,2.70E+12,2.71E+12,2.72E+12,2.75E+12,2.78E+12,2.81E+12,2.88E+12,2.93E+12,2.97E+12
Germany,1.54E+12,1.59E+12,1.65E+12,1.73E+12,1.75E+12,1.73E+12,1.82E+12,1.88E+12,1.94E+12,2.02E+12,2.05E+12,2.06E+12,2.05E+12,2.08E+12,2.14E+12,2.19E+12,2.24E+12,2.27E+12,2.36E+12,2.45E+12,2.58E+12,2.71E+12,2.76E+12,2.73E+12,2.80E+12,2.84E+12,2.86E+12,2.92E+12,2.97E+12,3.03E+12,3.12E+12,3.17E+12,3.16E+12,3.14E+12,3.18E+12,3.20E+12,3.33E+12,3.42E+12,3.46E+12,3.26E+12,3.40E+12,3.53E+12,3.54E+12,3.56E+12,3.64E+12,3.69E+12,3.78E+12,3.87E+12,3.92E+12,3.94E+12
Greece,1.18E+11,1.27E+11,1.40E+11,1.51E+11,1.41E+11,1.50E+11,1.61E+11,1.66E+11,1.78E+11,1.83E+11,1.85E+11,1.82E+11,1.80E+11,1.78E+11,1.81E+11,1.86E+11,1.87E+11,1.83E+11,1.90E+11,1.98E+11,1.98E+11,2.04E+11,2.05E+11,2.02E+11,2.06E+11,2.10E+11,2.16E+11,2.26E+11,2.35E+11,2.42E+11,2.52E+11,2.62E+11,2.72E+11,2.88E+11,3.03E+11,3.04E+11,3.22E+11,3.32E+11,3.31E+11,3.17E+11,2.99E+11,2.72E+11,2.52E+11,2.44E+11,2.46E+11,2.45E+11,2.44E+11,2.48E+11,2.53E+11,2.57E+11
Iceland,3320000063,3753619881,3985493531,4256746610,4499649006,4528723714,4798607006,5221953417,5536143451,5805232270,6138912416,6400737466,6538645595,6397988754,6662169276,6881543942,7313054044,7938023234,7930900759,7951397367,8044378650,8026397412,7755595264,7857461082,8141025691,8150516800,8523253282,9014233171,9653843547,10044153276,10535472402,10946230529,11020793077,11270759757,12177177341,12947992674,13627609657,14903878824,15200761233,14170572950,13683689693,13941164773,14121903276,14705681737,15011945671,15724860715,16766952996,17529175812,18197812727,18546969950
Ireland,37691202253,38999045082,41530008053,43490817706,45343626944,47908554842,48576786920,52565572876,56343318830,58074769240,59863081873,61853658830,63266067655,63111508274,65859618050,67891791976,67600991285,70753286735,74444778912,78772937885,85442271318,87090999526,90002690178,92426110423,97745998206,1.07E+11,1.15E+11,1.28E+11,1.39E+11,1.53E+11,1.68E+11,1.77E+11,1.87E+11,1.93E+11,2.06E+11,2.17E+11,2.28E+11,2.41E+11,2.30E+11,2.18E+11,2.22E+11,2.23E+11,2.23E+11,2.26E+11,2.46E+11,3.08E+11,3.19E+11,3.45E+11,3.73E+11,3.94E+11
